disease_mondo_term_norm,disease_mondo_termid,Disease Class
Injury of peripheral nerves of neck,-1,Diseases of the nervous system
Injury of peripheral nerves of thorax,-1,Diseases of the nervous system
Injury of peroneal nerve at lower leg level,-1,Diseases of the nervous system
"Injury of pharynx, unspecified",-1,Diseases of the nervous system
Injury of phrenic nerve,-1,Diseases of the nervous system
Injury of pulmonary plexus,-1,Diseases of the nervous system
Injury of radial nerve at forearm level,-1,Diseases of the nervous system
Injury of radial nerve at upper arm level,-1,Diseases of the nervous system
Injury of radial nerve at wrist or hand level,-1,Diseases of the nervous system
Injury of radial nerve of hand,-1,Diseases of the nervous system
Injury of radial nerve of wrist,-1,Diseases of the nervous system
"Injury of salivary gland, unspecified",-1,Diseases of the nervous system
Injury of sciatic nerve at hip or thigh level,-1,Diseases of the nervous system
Injury of sclera,-1,Diseases of the nervous system
"Injury of spinal cord at abdomen, lower back or pelvis level",-1,Diseases of the nervous system
Injury of spinal cord at neck level,-1,Diseases of the nervous system
Injury of spinal cord at thorax level,-1,Diseases of the nervous system
Injury of splanchnic nerve,-1,Diseases of the nervous system
Injury of stellate ganglion,-1,Diseases of the nervous system
Injury of superficial lacrimal apparatus,-1,Diseases of the nervous system
Injury of superior mesenteric plexus,-1,Diseases of the nervous system
Injury of supraclavicular nerve,-1,Diseases of the nervous system
Injury of teeth or supporting structures,-1,Diseases of the nervous system
Injury of the auricle,-1,Diseases of the nervous system
Injury of thoracic sympathetic nerves,-1,Diseases of the nervous system
Injury of tibial nerve at lower leg level,-1,Diseases of the nervous system
"Injury of tongue, unspecified",-1,Diseases of the nervous system
Injury of tonsil,-1,Diseases of the nervous system
"Injury of tooth, unspecified",-1,Diseases of the nervous system
Injury of trigeminal ganglion,-1,Diseases of the nervous system
Injury of trigeminal nerve,-1,Diseases of the nervous system
Injury of ulnar nerve at forearm level,-1,Diseases of the nervous system
Injury of ulnar nerve at upper arm level,-1,Diseases of the nervous system
Injury of ulnar nerve at wrist or hand level,-1,Diseases of the nervous system
Injury of ulnar nerve of hand,-1,Diseases of the nervous system
Injury of ulnar nerve of wrist,-1,Diseases of the nervous system
Injury of unspecified nerve of shoulder,-1,Diseases of the nervous system
Injury of unspecified nerve of upper arm,-1,Diseases of the nervous system
"Injury of uvula, unspecified",-1,Diseases of the nervous system
Injury of vagus nerve,-1,Diseases of the nervous system
Injury of vertebral artery,-1,Diseases of the nervous system
"Injury of visual cortex, bilateral",-1,Diseases of the nervous system
"Injury of visual cortex, unilateral",-1,Diseases of the nervous system
"Injury or harm arising following infusion, transfusion or therapeutic injection, not elsewhere classified",-1,Diseases of the nervous system
"Injury or harm arising from a procedure, not elsewhere classified",-1,Diseases of the nervous system
"Injury or harm arising from other device, implant or graft, not elsewhere classified",-1,Diseases of the nervous system
"Injury or harm arising from surgical or medical care, not elsewhere classified",-1,Diseases of the nervous system
Injury to anterior cutaneous nerve of neck,-1,Diseases of the nervous system
"Injury to face, not elsewhere classified",-1,Diseases of the nervous system
"Injury to nose, not elsewhere classified",-1,Diseases of the nervous system
Injury to scalp of newborn due to sampling incision,-1,Diseases of the nervous system
Injury to scalp of newborn due to scalp clip or electrode,-1,Diseases of the nervous system
"Injury to thyroid gland, not elsewhere classified",-1,Diseases of the nervous system
"Injury, Abducens Nerve",-1,Cranial Nerve Diseases
"Injury, Accessory Nerve",-1,Cranial Nerve Diseases
"Injury, Carotid Artery",-1,"Trauma, Nervous System"
"Injury, Contre-coup",-1,"Trauma, Nervous System"
"Injury, Contrecoup",-1,"Trauma, Nervous System"
"Injury, Cornea",-1,"Trauma, Nervous System"
"Injury, Corneal",-1,"Trauma, Nervous System"
"Injury, Cranial Nerve",-1,Cranial Nerve Diseases
"Injury, Cranial Nerve I",-1,Cranial Nerve Diseases
"Injury, Cranial Nerve III",-1,"Trauma, Nervous System"
"Injury, Cranial Nerve IV",-1,Cranial Nerve Diseases
"Injury, Cranial Nerve IX",-1,"Trauma, Nervous System"
"Injury, Cranial Nerve V",-1,Cranial Nerve Diseases
"Injury, Cranial Nerve VI",-1,Cranial Nerve Diseases
"Injury, Cranial Nerve VIII",-1,"Trauma, Nervous System"
"Injury, Cranial Nerve X",-1,"Trauma, Nervous System"
"Injury, Cranial Nerve XI",-1,Cranial Nerve Diseases
"Injury, Cranial Nerve XII",-1,Cranial Nerve Diseases
"Injury, Diffuse Axonal",-1,Central Nervous System Diseases
"Injury, Eighth Cranial Nerve",-1,"Trauma, Nervous System"
"Injury, Eleventh Cranial Nerve",-1,Cranial Nerve Diseases
"Injury, Eye",-1,"Trauma, Nervous System"
"Injury, Facial",-1,"Trauma, Nervous System"
"Injury, Facial Nerve",-1,Cranial Nerve Diseases
"Injury, Fifth Cranial Nerve",-1,Cranial Nerve Diseases
"Injury, First Cranial Nerve",-1,Cranial Nerve Diseases
"Injury, Fourth Cranial Nerve",-1,Cranial Nerve Diseases
"Injury, Glossopharyngeal Nerve",-1,"Trauma, Nervous System"
"Injury, Hypoglossal Nerve",-1,Cranial Nerve Diseases
"Injury, Laryngeal Nerve",-1,"Trauma, Nervous System"
"Injury, Lingual Nerve",-1,"Trauma, Nervous System"
"Injury, Mandibular",-1,"Trauma, Nervous System"
"Injury, Maxillofacial",-1,"Trauma, Nervous System"
"Injury, Ninth Cranial Nerve",-1,"Trauma, Nervous System"
"Injury, Oculomotor Nerve",-1,"Trauma, Nervous System"
"Injury, Olfactory Nerve",-1,Cranial Nerve Diseases
"Injury, Optic Nerve",-1,Cranial Nerve Diseases
"Injury, Penetrating Eye",-1,"Trauma, Nervous System"
"Injury, Penetrating Head",-1,"Trauma, Nervous System"
"Injury, Sixth Cranial Nerve",-1,Cranial Nerve Diseases
"Injury, Tenth Cranial Nerve",-1,"Trauma, Nervous System"
"Injury, Third Cranial Nerve",-1,"Trauma, Nervous System"
"Injury, Trigeminal Nerve",-1,Cranial Nerve Diseases
"Injury, Trochlear Nerve",-1,Cranial Nerve Diseases
"Injury, Twelfth Cranial Nerve",-1,Cranial Nerve Diseases
"Injury, Vagus Nerve",-1,"Trauma, Nervous System"
"Injury, Vestibulocochlear Nerve",-1,"Trauma, Nervous System"
labyrinthitis,MONDO:0002008,Diseases of the nervous system
vertebrobasilar insufficiency,MONDO:0001613,Central Nervous System Diseases
Insufficiency of anastomosis,-1,Diseases of the nervous system
Insulin Coma,-1,Neurologic Manifestations
syndromic X-linked intellectual disability Najm type,MONDO:0010417,Diseases of the nervous system
congenital hypothyroidism,MONDO:0018612,Diseases of the nervous system
Intellectual developmental disorder due to iron deficiency,-1,Diseases of the nervous system
Intellectual developmental disorder due to nutritional deficiency,-1,Diseases of the nervous system
Intellectual developmental disorder due to other micronutrient deficiency,-1,Diseases of the nervous system
Intellectual developmental disorder in the setting of bilateral pitting oedema,-1,Diseases of the nervous system
Intellectual developmental disorder in the setting of severe wasting,-1,Diseases of the nervous system
Intellectual developmental disorder in the setting of stunting,-1,Diseases of the nervous system
anterior cutaneous nerve entrapment syndrome,MONDO:0018873,Diseases of the nervous system
Morton neuroma,MONDO:0700058,Diseases of the nervous system
intermediate Charcot-Marie-Tooth disease,MONDO:0018778,Diseases of the nervous system
intermediate nemaline myopathy,MONDO:0015736,Diseases of the nervous system
intermittent explosive disorder,MONDO:0001521,Diseases of the nervous system
tibial neuropathy,MONDO:0006997,Neuromuscular Diseases
Internet gaming disorder,-1,Diseases of the nervous system
Intervertebral disc degeneration of cervical spine with bony spur at the vertebra,-1,Diseases of the nervous system
cervical disk degenerative disorder,MONDO:0044343,Diseases of the nervous system
Intervertebral disc degeneration of lumbar spine with bony spur at the vertebra,-1,Diseases of the nervous system
lumbar disk degenerative disorder,MONDO:0044339,Diseases of the nervous system
Intervertebral disc degeneration of thoracic spine with bony spur at the vertebra,-1,Diseases of the nervous system
thoracic disk degenerative disorder,MONDO:0044342,Diseases of the nervous system
Intervertebral disc degeneration without prolapsed disc with determinant,-1,Diseases of the nervous system
Intestine transplant failure or rejection,-1,Diseases of the nervous system
Intoxication due to multiple specified psychoactive substances,-1,Diseases of the nervous system
Intoxication due to unknown or unspecified psychoactive substance,-1,Diseases of the nervous system
"Intracerebral Hemorrhage, Traumatic",-1,"Trauma, Nervous System"
"Intracerebral Hemorrhages, Traumatic",-1,"Trauma, Nervous System"
Intracerebral granuloma due to Haematobium species,-1,Diseases of the nervous system
Intracerebral granuloma due to Mansoni species,-1,Diseases of the nervous system
Intracerebral granuloma due to Schistosoma species,-1,Diseases of the nervous system
Intracerebral nontraumatic haemorrhage of fetus or newborn,-1,Diseases of the nervous system
Intracranial Epidural Hematoma,-1,"Trauma, Nervous System"
Intracranial Epidural Hematomas,-1,"Trauma, Nervous System"
Intracranial Gas,-1,Central Nervous System Diseases
"Intracranial Hemorrhage, Hypertensive",-1,Central Nervous System Diseases
"Intracranial Hemorrhage, Traumatic",-1,"Trauma, Nervous System"
"Intracranial Hemorrhages, Hypertensive",-1,Central Nervous System Diseases
"Intracranial Hemorrhages, Traumatic",-1,"Trauma, Nervous System"
Intracranial Subdural Hematoma,-1,"Trauma, Nervous System"
Intracranial Subdural Hematomas,-1,"Trauma, Nervous System"
intracranial arachoid cyst,MONDO:0100129,Diseases of the nervous system
Intracranial granuloma,-1,Diseases of the nervous system
Intracranial haematoma,-1,Diseases of the nervous system
Intracranial haemorrhage due to birth injury,-1,Diseases of the nervous system
Intracranial haemorrhage due to hypoxia or ischaemia or disorders of coagulation,-1,Diseases of the nervous system
Intracranial hypertension associated with anaemia,-1,Diseases of the nervous system
Intracranial hypertension associated with endocrine abnormalities,-1,Diseases of the nervous system
Intracranial hypertension associated with intracranial venous thrombosis,-1,Diseases of the nervous system
Intracranial hypertension associated with medication or toxin exposure,-1,Diseases of the nervous system
Intracranial hypertension associated with metabolic abnormalities,-1,Diseases of the nervous system
Intracranial hypertension associated with obesity,-1,Diseases of the nervous system
"Intracranial hypertension associated with other disorders, not elsewhere classified",-1,Diseases of the nervous system
Intracranial hypotension due to cerebrospinal fluid fistula,-1,Diseases of the nervous system
Intracranial hypotension due to cerebrospinal fluid otorrhea,-1,Diseases of the nervous system
Intracranial hypotension due to cerebrospinal fluid rhinorrhoea,-1,Diseases of the nervous system
Intracranial hypotension due to lumbar puncture,-1,Diseases of the nervous system
Intracranial infectious cyst,-1,Diseases of the nervous system
Intracranial injury with prolonged coma,-1,Diseases of the nervous system
Intracranial laceration or haemorrhage due to birth injury,-1,Diseases of the nervous system
Intracranial nontraumatic haemorrhage of fetus or newborn,-1,Diseases of the nervous system
Intracranial occipital injury,-1,Diseases of the nervous system
Intracranial space-occupying lesion,-1,Diseases of the nervous system
Intracranial vascular malformation,-1,Diseases of the nervous system
Intractable Epilepsies,-1,Central Nervous System Diseases
Intractable Epilepsy,-1,Central Nervous System Diseases
Intramedullary granuloma due to S haematobium species,-1,Diseases of the nervous system
Intramedullary granuloma due to S japonicum species,-1,Diseases of the nervous system
Intramedullary granuloma due to S mansoni species,-1,Diseases of the nervous system
Intramedullary granuloma due to cysticercosis infection,-1,Diseases of the nervous system
intraneural perineurioma,MONDO:0015032,Diseases of the nervous system
Intraoperative haemorrhage and haematoma of eye or ocular adnexa complicating an ophthalmic procedure,-1,Diseases of the nervous system
Intraoperative haemorrhage and haematoma of eye or ocular adnexa complicating other procedure,-1,Diseases of the nervous system
Intraspinal epidural granuloma,-1,Diseases of the nervous system
Intraspinal extradural granuloma,-1,Diseases of the nervous system
Intraspinal intramedullary granuloma,-1,Diseases of the nervous system
Intraspinal subdural granuloma,-1,Diseases of the nervous system
